,customer_id,first_name,last_name,full_name,email,country,country_code,street,credit_provider,four_digits
0,395001,Lakisha,Guerra,Lakisha Guerra,Lakishag@gmail.com,Zimbabwe,ZIM,551 Bradley Corner,Discover,3663
1,208044,Rosemarie,Shelton,Rosemarie Shelton,Rosemaries@gmail.com,North Macedonia,NOR,8385 Paul Village,VISA 16 digit,9907
2,730028,Joan,Bui,Joan Bui,Joanb@gmail.com,Maldives,MAL,0361 Robert Stream Suite 854,JCB 15 digit,8306
3,158960,Kevin,Mahoney,Kevin Mahoney,Kevinm@gmail.com,France,FRA,60128 Adams Lodge Apt. 336,Discover,5792
4,791715,Christine,Williams,Christine Williams,Christinew@gmail.com,Seychelles,SEY,022 Lisa Spur,Maestro,1857
5,265696,Stacey,Quintana,Stacey Quintana,Staceyq@gmail.com,Palestinian Territory,PAL,6736 Erin Glen Suite 758,Diners Club / Carte Blanche,6555
6,306131,Lillie,Walker,Lillie Walker,Lilliew@gmail.com,Saint Lucia,SAI,607 Colin Summit Apt. 179,Mastercard,4190
7,992930,Maria,Johnson,Maria Johnson,Mariaj@gmail.com,Micronesia,MIC,9685 Kevin Trail Apt. 708,JCB 16 digit,9542
8,33276,Rayford,Petrin,Rayford Petrin,Rayfordp@gmail.com,British Indian Ocean Territory (Chagos Archipelago),BRI,41732 Luis Springs Apt. 296,VISA 16 digit,8778
9,522286,Willa,Gaughan,Willa Gaughan,Willag@gmail.com,Turkmenistan,TUR,841 Rachel Oval,Discover,9139
10,144578,Garnett,Sanford,Garnett Sanford,Garnetts@gmail.com,Guinea,GUI,026 Christopher Crossing,Maestro,8728
11,26041,Christopher,Bray,Christopher Bray,Christopherb@gmail.com,Saint Kitts and Nevis,SAI,958 Hutchinson Falls,VISA 13 digit,3484
12,215422,Alfred,Bucher,Alfred Bucher,Alfredb@gmail.com,Kyrgyz Republic,KYR,3566 Collins Drive Apt. 475,Discover,3114
13,109775,Rose,Dearborn,Rose Dearborn,Rosed@gmail.com,Cameroon,CAM,71706 Evans Flat Suite 334,Discover,8441
14,776343,Patricia,Maze,Patricia Maze,Patriciam@gmail.com,San Marino,SAN,9054 Ashley Viaduct,VISA 16 digit,7471
15,420070,Holly,Stahl,Holly Stahl,Hollys@gmail.com,Madagascar,MAD,5513 Powell Summit,Maestro,3869
16,671419,Charles,West,Charles West,Charlesw@gmail.com,Belarus,BEL,9519 Young Roads Apt. 188,Mastercard,9815
17,752060,Gerard,Bronsky,Gerard Bronsky,Gerardb@gmail.com,France,FRA,3256 Eric Fords Suite 052,American Express,4693
18,574456,Wilma,Horstman,Wilma Horstman,Wilmah@gmail.com,Ecuador,ECU,31564 Allen Avenue Apt. 770,American Express,7651
19,702787,Michelle,Garcia,Michelle Garcia,Michelleg@gmail.com,Niue,NIU,313 Ashley Plain Suite 268,JCB 16 digit,8723
20,612980,Sylvia,Robinson,Sylvia Robinson,Sylviar@gmail.com,Somalia,SOM,44310 Ballard Plaza,Maestro,3347
21,293522,Martin,Walker,Martin Walker,Martinw@gmail.com,Saint Pierre and Miquelon,SAI,665 William Gardens Apt. 152,JCB 16 digit,6619
22,406000,Sarah,Meyer,Sarah Meyer,Sarahm@gmail.com,Latvia,LAT,1307 Tammy Prairie,Maestro,7783
23,719448,James,Marino,James Marino,Jamesm@gmail.com,Myanmar,MYA,042 Carpenter Curve,VISA 19 digit,7665
24,26652,Cynthia,Delaney,Cynthia Delaney,Cynthiad@gmail.com,Gabon,GAB,0076 Moore Pike Suite 290,VISA 19 digit,7920
25,556899,Jessie,Shipp,Jessie Shipp,Jessies@gmail.com,Seychelles,SEY,6739 Wilkerson Stream Apt. 538,JCB 16 digit,1848
