,employee_id,first_name,last_name,full_name,email,city,department
0,2433,Carlos,Holland,Carlos Holland,Carlosh@gmail.com,Andersonville,Sales
1,403,Brian,Howland,Brian Howland,Brianh@gmail.com,Lauriechester,Marketing
2,2556,Richard,Wallace,Richard Wallace,Richardw@gmail.com,North Kaitlyn,BI
3,1416,Sharlene,Dahlheimer,Sharlene Dahlheimer,Sharlened@gmail.com,Welchville,BI
4,2163,Laurice,Rellihan,Laurice Rellihan,Lauricer@gmail.com,Nicolefurt,Marketing
5,2843,Gwendolyn,Holifield,Gwendolyn Holifield,Gwendolynh@gmail.com,Port Jesseview,Sales
6,2327,Thomas,Anderson,Thomas Anderson,Thomasa@gmail.com,Harringtonview,Sales
7,779,Robert,Sturtevant,Robert Sturtevant,Roberts@gmail.com,Tuckerfort,Sales
8,3146,Carey,Mcdavid,Carey Mcdavid,Careym@gmail.com,New Jamesfort,BI
9,672,Mark,Hazelwood,Mark Hazelwood,Markh@gmail.com,New Christopherland,BI
10,2173,Martha,Berry,Martha Berry,Marthab@gmail.com,Toddhaven,BI
11,1440,Richard,Hall,Richard Hall,Richardh@gmail.com,East Thomaschester,Sales
12,841,Rodney,Lyons,Rodney Lyons,Rodneyl@gmail.com,Lake Michael,Marketing
13,2176,Antonio,Looney,Antonio Looney,Antoniol@gmail.com,Lake Brandonshire,Marketing
14,497,Deanna,Johnson,Deanna Johnson,Deannaj@gmail.com,Johnland,Sales
15,2306,Patsy,Lavallee,Patsy Lavallee,Patsyl@gmail.com,East Brianmouth,BI
16,598,Leticia,Wiley,Leticia Wiley,Leticiaw@gmail.com,West Ashley,BI
17,477,Sylvia,Leusink,Sylvia Leusink,Sylvial@gmail.com,Lake Melissa,Finance
18,1490,Felix,Brunner,Felix Brunner,Felixb@gmail.com,Brownmouth,BI
19,595,Thomas,Mcintyre,Thomas Mcintyre,Thomasm@gmail.com,Fordbury,Sales
20,2669,Richard,Slater,Richard Slater,Richards@gmail.com,Lake Joel,Marketing
21,3924,Dorothy,Putman,Dorothy Putman,Dorothyp@gmail.com,Curtiston,Finance
22,1004,Larry,Moxley,Larry Moxley,Larrym@gmail.com,Martinezton,Finance
23,2826,Jacqueline,Steele,Jacqueline Steele,Jacquelines@gmail.com,Gregorystad,Sales
24,230,Mildred,Rodriquez,Mildred Rodriquez,Mildredr@gmail.com,Serranobury,Finance
25,2524,Arthur,Smith,Arthur Smith,Arthurs@gmail.com,Victorborough,Finance
26,3161,Elaine,Geiger,Elaine Geiger,Elaineg@gmail.com,West Carolburgh,Sales
27,1453,Donald,Ring,Donald Ring,Donaldr@gmail.com,Salasstad,Marketing
28,3338,Rosalie,Burke,Rosalie Burke,Rosalieb@gmail.com,South Jasminefurt,Sales
29,3636,Susan,Summerville,Susan Summerville,Susans@gmail.com,New Donald,Marketing
30,3561,Elizabeth,Taylor,Elizabeth Taylor,Elizabetht@gmail.com,North Mistyhaven,Finance
31,1055,Ronald,Clark,Ronald Clark,Ronaldc@gmail.com,West Michaelfurt,BI
32,2012,Everett,Upton,Everett Upton,Everettu@gmail.com,South Victoria,Marketing
33,2437,Sherrie,Hicks,Sherrie Hicks,Sherrieh@gmail.com,Karenmouth,Finance
34,575,Leonard,Jones,Leonard Jones,Leonardj@gmail.com,Christopherbury,Marketing
35,2628,Lenore,Lindsey,Lenore Lindsey,Lenorel@gmail.com,North Ruthfurt,Marketing
36,3540,Joyce,Mcmanemy,Joyce Mcmanemy,Joycem@gmail.com,New Kimberlyland,BI
37,619,Gerald,Bennett,Gerald Bennett,Geraldb@gmail.com,Port Jameshaven,Sales
38,2603,Christine,Alanis,Christine Alanis,Christinea@gmail.com,Nancyfurt,BI
39,3531,Rene,Featherston,Rene Featherston,Renef@gmail.com,Cooktown,Sales
40,2336,Susan,Hopkins,Susan Hopkins,Susanh@gmail.com,North Carol,Sales
41,196,Karla,Crumble,Karla Crumble,Karlac@gmail.com,Port Davidhaven,Marketing
42,1942,Sheila,Saenz,Sheila Saenz,Sheilas@gmail.com,East Debraland,Marketing
43,3302,Howard,Branch,Howard Branch,Howardb@gmail.com,South Annachester,BI
44,1975,Shirley,Scott,Shirley Scott,Shirleys@gmail.com,Davidchester,BI
45,2198,Earnest,Debose,Earnest Debose,Earnestd@gmail.com,Lake Larry,BI
46,783,Thomas,Ruka,Thomas Ruka,Thomasr@gmail.com,Russellport,Marketing
47,2607,Sabrina,Crawford,Sabrina Crawford,Sabrinac@gmail.com,Lake Peter,Sales
48,3538,Frank,Reed,Frank Reed,Frankr@gmail.com,Port Troy,Sales
49,974,Marion,Law,Marion Law,Marionl@gmail.com,Annborough,Marketing
50,2838,Hilton,Stallcup,Hilton Stallcup,Hiltons@gmail.com,Michaelside,Sales
51,2046,Amy,Channey,Amy Channey,Amyc@gmail.com,North Roberttown,Sales
52,3256,Anne,Black,Anne Black,Anneb@gmail.com,South Katiechester,BI
