,Unnamed: 0,customer_id,first_name,last_name,full_name,email,street,four_digits,country_id,credit_provider_id
0,0,395001,Lakisha,Guerra,Lakisha Guerra,Lakishag@gmail.com,551 Bradley Corner,3663,0,0
1,1,208044,Rosemarie,Shelton,Rosemarie Shelton,Rosemaries@gmail.com,8385 Paul Village,9907,1,1
2,2,730028,Joan,Bui,Joan Bui,Joanb@gmail.com,0361 Robert Stream Suite 854,8306,2,2
3,3,158960,Kevin,Mahoney,Kevin Mahoney,Kevinm@gmail.com,60128 Adams Lodge Apt. 336,5792,3,0
4,4,791715,Christine,Williams,Christine Williams,Christinew@gmail.com,022 Lisa Spur,1857,4,3
5,5,265696,Stacey,Quintana,Stacey Quintana,Staceyq@gmail.com,6736 Erin Glen Suite 758,6555,5,4
6,6,306131,Lillie,Walker,Lillie Walker,Lilliew@gmail.com,607 Colin Summit Apt. 179,4190,6,5
7,7,992930,Maria,Johnson,Maria Johnson,Mariaj@gmail.com,9685 Kevin Trail Apt. 708,9542,7,6
8,8,33276,Rayford,Petrin,Rayford Petrin,Rayfordp@gmail.com,41732 Luis Springs Apt. 296,8778,8,1
9,9,522286,Willa,Gaughan,Willa Gaughan,Willag@gmail.com,841 Rachel Oval,9139,9,0
10,10,144578,Garnett,Sanford,Garnett Sanford,Garnetts@gmail.com,026 Christopher Crossing,8728,10,3
11,11,26041,Christopher,Bray,Christopher Bray,Christopherb@gmail.com,958 Hutchinson Falls,3484,11,7
12,12,215422,Alfred,Bucher,Alfred Bucher,Alfredb@gmail.com,3566 Collins Drive Apt. 475,3114,12,0
13,13,109775,Rose,Dearborn,Rose Dearborn,Rosed@gmail.com,71706 Evans Flat Suite 334,8441,13,0
14,14,776343,Patricia,Maze,Patricia Maze,Patriciam@gmail.com,9054 Ashley Viaduct,7471,14,1
15,15,420070,Holly,Stahl,Holly Stahl,Hollys@gmail.com,5513 Powell Summit,3869,15,3
16,16,671419,Charles,West,Charles West,Charlesw@gmail.com,9519 Young Roads Apt. 188,9815,16,5
17,17,752060,Gerard,Bronsky,Gerard Bronsky,Gerardb@gmail.com,3256 Eric Fords Suite 052,4693,3,8
18,18,574456,Wilma,Horstman,Wilma Horstman,Wilmah@gmail.com,31564 Allen Avenue Apt. 770,7651,17,8
19,19,702787,Michelle,Garcia,Michelle Garcia,Michelleg@gmail.com,313 Ashley Plain Suite 268,8723,18,6
20,20,612980,Sylvia,Robinson,Sylvia Robinson,Sylviar@gmail.com,44310 Ballard Plaza,3347,19,3
21,21,293522,Martin,Walker,Martin Walker,Martinw@gmail.com,665 William Gardens Apt. 152,6619,20,6
22,22,406000,Sarah,Meyer,Sarah Meyer,Sarahm@gmail.com,1307 Tammy Prairie,7783,21,3
23,23,719448,James,Marino,James Marino,Jamesm@gmail.com,042 Carpenter Curve,7665,22,9
24,24,26652,Cynthia,Delaney,Cynthia Delaney,Cynthiad@gmail.com,0076 Moore Pike Suite 290,7920,23,9
25,25,556899,Jessie,Shipp,Jessie Shipp,Jessies@gmail.com,6739 Wilkerson Stream Apt. 538,1848,4,6
26,26,352758,Rose,Poole,Rose Poole,Rosep@gmail.com,03541 Jon Hills,4361,24,9
27,27,673546,Laurie,Frederick,Laurie Frederick,Laurief@gmail.com,2548 Krista Mill,3443,25,1
28,28,312819,Angela,Cam,Angela Cam,Angelac@gmail.com,9262 Murray Estates,4685,26,9
29,29,569213,Donald,Figueroa,Donald Figueroa,Donaldf@gmail.com,3454 Stark Ranch Suite 023,4059,27,1
30,30,657262,Dolores,Jackson,Dolores Jackson,Doloresj@gmail.com,177 Campos Crossing,2794,28,1
31,31,189875,Judith,Fugate,Judith Fugate,Judithf@gmail.com,343 Wood Bridge Apt. 668,4632,29,9
32,32,677400,Carolyn,Caponigro,Carolyn Caponigro,Carolync@gmail.com,460 Leonard Locks,4350,30,8
33,33,102114,Daniel,Kilburn,Daniel Kilburn,Danielk@gmail.com,408 Rojas Corners,2983,31,4
34,34,995822,Steve,Vincent,Steve Vincent,Stevev@gmail.com,049 Donald Park Apt. 287,6581,32,5
35,35,184160,Brittany,Whitney,Brittany Whitney,Brittanyw@gmail.com,1061 Joanna Wells Suite 834,5909,33,6
36,36,405703,Joanne,Davenport,Joanne Davenport,Joanned@gmail.com,48498 William Springs,3660,34,8
37,37,655294,Jane,Burton,Jane Burton,Janeb@gmail.com,0583 Tonya Forest Suite 390,4471,10,4
38,38,408206,Aaron,Mitchell,Aaron Mitchell,Aaronm@gmail.com,130 Andrea Gardens,1128,26,5
39,39,336460,Katie,Cook,Katie Cook,Katiec@gmail.com,110 Jorge Mission Suite 573,6235,35,9
40,40,320983,Charles,Tower,Charles Tower,Charlest@gmail.com,0000 Jean Lock,3166,36,0
41,41,959842,Amanda,Maria,Amanda Maria,Amandam@gmail.com,098 Freeman Isle Suite 710,3924,37,2
42,42,935506,Nadine,Adamson,Nadine Adamson,Nadinea@gmail.com,6548 Katherine Harbor Apt. 345,3594,38,7
43,43,108861,Nathan,Remaley,Nathan Remaley,Nathanr@gmail.com,30779 Alexander Parks,1432,39,7
44,44,787982,Eric,Woodberry,Eric Woodberry,Ericw@gmail.com,933 Nancy Row Apt. 245,5919,40,5
45,45,785196,Otis,Goya,Otis Goya,Otisg@gmail.com,7846 Kevin Stream Suite 317,6624,41,5
46,46,447911,Julie,Smuin,Julie Smuin,Julies@gmail.com,919 Kimberly Light Apt. 535,9196,42,0
47,47,424994,Edythe,Russell,Edythe Russell,Edyther@gmail.com,548 Phelps Station,9807,43,2
48,48,194111,Louis,Brockhaus,Louis Brockhaus,Louisb@gmail.com,2594 George Ports Apt. 567,4586,29,2
49,49,870204,Marion,Williams,Marion Williams,Marionw@gmail.com,225 Galvan Stream Suite 452,9507,44,1
50,50,701006,Thomas,Kelly,Thomas Kelly,Thomask@gmail.com,126 Devon Common Apt. 172,5273,45,7
51,51,442446,Juan,Zuniga,Juan Zuniga,Juanz@gmail.com,076 Harmon Crossing,8140,38,4
52,52,270909,Mary,Welder,Mary Welder,Maryw@gmail.com,57117 Erin Plaza Apt. 578,5023,46,7
53,53,985543,Millard,Smith,Millard Smith,Millards@gmail.com,1290 Amanda Mountains Apt. 004,8738,47,0
54,54,16116,Corinne,Felice,Corinne Felice,Corinnef@gmail.com,663 Daniels Keys,6253,48,7
55,55,488564,Nicholas,Kratochvil,Nicholas Kratochvil,Nicholask@gmail.com,0909 Joann Manors,7330,49,6
56,56,854433,Genevieve,Katz,Genevieve Katz,Genevievek@gmail.com,4964 Joseph Drives,8579,50,4
57,57,406448,Vicki,Hamill,Vicki Hamill,Vickih@gmail.com,7870 Jessica Mission,4881,51,6
58,58,185483,Robin,Greene,Robin Greene,Robing@gmail.com,4882 Tara Ridge Apt. 709,7065,52,1
59,59,700461,Albert,Graves,Albert Graves,Albertg@gmail.com,84671 Miller Underpass Apt. 823,7375,53,4
60,60,764580,Thomas,Carson,Thomas Carson,Thomasc@gmail.com,5531 Nathan Centers Suite 985,3328,16,1
61,61,98480,Howard,Nagao,Howard Nagao,Howardn@gmail.com,4273 Anna Springs Suite 919,2074,54,5
62,62,664162,Cynthia,Malone,Cynthia Malone,Cynthiam@gmail.com,1116 Trujillo Wall Apt. 015,6788,55,0
63,63,766035,Earl,Frazier,Earl Frazier,Earlf@gmail.com,4846 Maria Light Apt. 461,5441,27,1
64,64,930391,Cody,Cox,Cody Cox,Codyc@gmail.com,586 Kristina Lodge,2119,56,7
65,65,226861,David,Ogata,David Ogata,Davido@gmail.com,31289 Tiffany Ramp Apt. 608,5397,19,4
66,66,453373,Milo,Harness,Milo Harness,Miloh@gmail.com,6624 Hansen Stream,4845,19,1
67,67,637035,Jesse,Craig,Jesse Craig,Jessec@gmail.com,1573 Mary Port,1398,57,1
68,68,50224,Rebecca,Lanclos,Rebecca Lanclos,Rebeccal@gmail.com,746 Shepard Turnpike,3048,58,8
69,69,903309,Mary,Mapp,Mary Mapp,Marym@gmail.com,83143 Cunningham Junctions Apt. 937,2214,59,1
70,70,129829,David,Ratcliff,David Ratcliff,Davidr@gmail.com,7882 Ali Heights,4761,18,8
71,71,825752,Kasey,Atkins,Kasey Atkins,Kaseya@gmail.com,37083 Sharp Mountains,2346,60,5
72,72,306844,Mary,Sikorski,Mary Sikorski,Marys@gmail.com,8327 Robert Path Apt. 180,1122,61,5
73,73,197221,Mary,Mcwilliams,Mary Mcwilliams,Marym@gmail.com,2582 Timothy Street Suite 756,7042,62,6
74,74,740124,Leon,Pender,Leon Pender,Leonp@gmail.com,933 Sandoval Ramp Suite 152,8624,63,0
75,75,485726,Raymond,Shorter,Raymond Shorter,Raymonds@gmail.com,941 Matthew Inlet Apt. 772,9264,64,0
76,76,437263,Julianne,Massey,Julianne Massey,Juliannem@gmail.com,81459 Gardner Fords Apt. 267,9202,65,7
77,77,154863,Joseph,Curran,Joseph Curran,Josephc@gmail.com,131 Mcdowell Alley Suite 449,9141,66,1
78,78,565026,Christine,Cothran,Christine Cothran,Christinec@gmail.com,916 Holly Pike,6636,21,0
79,79,656008,Kerry,Ransom,Kerry Ransom,Kerryr@gmail.com,709 Cochran Grove Suite 090,8999,67,1
80,80,378177,Mendy,Garafalo,Mendy Garafalo,Mendyg@gmail.com,894 Valerie Oval,4268,11,8
81,81,69088,Sherry,Wafford,Sherry Wafford,Sherryw@gmail.com,2299 Horne Island,4930,68,4
82,82,164303,Andrew,Jackson,Andrew Jackson,Andrewj@gmail.com,2471 Ibarra Motorway,4334,69,9
83,83,372820,Catherine,Bennett,Catherine Bennett,Catherineb@gmail.com,2568 Weaver Turnpike,1668,17,8
84,84,413319,John,Armendariz,John Armendariz,Johna@gmail.com,56125 Maureen Plains,7297,70,5
85,85,722328,Gerri,Hillsgrove,Gerri Hillsgrove,Gerrih@gmail.com,3717 Lee Well,5711,71,7
86,86,711452,Lillian,Matthews,Lillian Matthews,Lillianm@gmail.com,544 Zamora Vista,4533,72,1
87,87,83916,Faye,Bauer,Faye Bauer,Fayeb@gmail.com,0622 Christopher Ports,5570,73,8
88,88,803086,Sherry,Clayton,Sherry Clayton,Sherryc@gmail.com,2281 Lee Valleys,4556,74,1
89,89,261776,Jonathan,Welch,Jonathan Welch,Jonathanw@gmail.com,38044 David Ports Suite 427,7783,75,4
90,90,481946,Peggy,Roderick,Peggy Roderick,Peggyr@gmail.com,6741 Crystal Forest,6822,76,0
91,91,400998,Sharon,Alegre,Sharon Alegre,Sharona@gmail.com,36806 Kerr Port,1984,77,6
92,92,779975,Milton,Lowrey,Milton Lowrey,Miltonl@gmail.com,5881 Deanna Rapid Suite 591,3200,78,1
93,93,909665,Steven,Schmidt,Steven Schmidt,Stevens@gmail.com,968 Shannon Fall,3638,54,1
94,94,559597,Craig,Wiederhold,Craig Wiederhold,Craigw@gmail.com,138 Desiree Ville,1668,34,1
