,Unnamed: 0,employee_id,first_name,last_name,full_name,email,city,department_id
0,0,2433,Carlos,Holland,Carlos Holland,Carlosh@gmail.com,Andersonville,0
1,1,403,Brian,Howland,Brian Howland,Brianh@gmail.com,Lauriechester,1
2,2,2556,Richard,Wallace,Richard Wallace,Richardw@gmail.com,North Kaitlyn,2
3,3,1416,Sharlene,Dahlheimer,Sharlene Dahlheimer,Sharlened@gmail.com,Welchville,2
4,4,2163,Laurice,Rellihan,Laurice Rellihan,Lauricer@gmail.com,Nicolefurt,1
5,5,2843,Gwendolyn,Holifield,Gwendolyn Holifield,Gwendolynh@gmail.com,Port Jesseview,0
6,6,2327,Thomas,Anderson,Thomas Anderson,Thomasa@gmail.com,Harringtonview,0
7,7,779,Robert,Sturtevant,Robert Sturtevant,Roberts@gmail.com,Tuckerfort,0
8,8,3146,Carey,Mcdavid,Carey Mcdavid,Careym@gmail.com,New Jamesfort,2
9,9,672,Mark,Hazelwood,Mark Hazelwood,Markh@gmail.com,New Christopherland,2
10,10,2173,Martha,Berry,Martha Berry,Marthab@gmail.com,Toddhaven,2
11,11,1440,Richard,Hall,Richard Hall,Richardh@gmail.com,East Thomaschester,0
12,12,841,Rodney,Lyons,Rodney Lyons,Rodneyl@gmail.com,Lake Michael,1
13,13,2176,Antonio,Looney,Antonio Looney,Antoniol@gmail.com,Lake Brandonshire,1
14,14,497,Deanna,Johnson,Deanna Johnson,Deannaj@gmail.com,Johnland,0
15,15,2306,Patsy,Lavallee,Patsy Lavallee,Patsyl@gmail.com,East Brianmouth,2
16,16,598,Leticia,Wiley,Leticia Wiley,Leticiaw@gmail.com,West Ashley,2
17,17,477,Sylvia,Leusink,Sylvia Leusink,Sylvial@gmail.com,Lake Melissa,3
18,18,1490,Felix,Brunner,Felix Brunner,Felixb@gmail.com,Brownmouth,2
19,19,595,Thomas,Mcintyre,Thomas Mcintyre,Thomasm@gmail.com,Fordbury,0
20,20,2669,Richard,Slater,Richard Slater,Richards@gmail.com,Lake Joel,1
21,21,3924,Dorothy,Putman,Dorothy Putman,Dorothyp@gmail.com,Curtiston,3
22,22,1004,Larry,Moxley,Larry Moxley,Larrym@gmail.com,Martinezton,3
23,23,2826,Jacqueline,Steele,Jacqueline Steele,Jacquelines@gmail.com,Gregorystad,0
24,24,230,Mildred,Rodriquez,Mildred Rodriquez,Mildredr@gmail.com,Serranobury,3
25,25,2524,Arthur,Smith,Arthur Smith,Arthurs@gmail.com,Victorborough,3
26,26,3161,Elaine,Geiger,Elaine Geiger,Elaineg@gmail.com,West Carolburgh,0
27,27,1453,Donald,Ring,Donald Ring,Donaldr@gmail.com,Salasstad,1
28,28,3338,Rosalie,Burke,Rosalie Burke,Rosalieb@gmail.com,South Jasminefurt,0
29,29,3636,Susan,Summerville,Susan Summerville,Susans@gmail.com,New Donald,1
30,30,3561,Elizabeth,Taylor,Elizabeth Taylor,Elizabetht@gmail.com,North Mistyhaven,3
31,31,1055,Ronald,Clark,Ronald Clark,Ronaldc@gmail.com,West Michaelfurt,2
32,32,2012,Everett,Upton,Everett Upton,Everettu@gmail.com,South Victoria,1
33,33,2437,Sherrie,Hicks,Sherrie Hicks,Sherrieh@gmail.com,Karenmouth,3
34,34,575,Leonard,Jones,Leonard Jones,Leonardj@gmail.com,Christopherbury,1
35,35,2628,Lenore,Lindsey,Lenore Lindsey,Lenorel@gmail.com,North Ruthfurt,1
36,36,3540,Joyce,Mcmanemy,Joyce Mcmanemy,Joycem@gmail.com,New Kimberlyland,2
37,37,619,Gerald,Bennett,Gerald Bennett,Geraldb@gmail.com,Port Jameshaven,0
38,38,2603,Christine,Alanis,Christine Alanis,Christinea@gmail.com,Nancyfurt,2
39,39,3531,Rene,Featherston,Rene Featherston,Renef@gmail.com,Cooktown,0
40,40,2336,Susan,Hopkins,Susan Hopkins,Susanh@gmail.com,North Carol,0
41,41,196,Karla,Crumble,Karla Crumble,Karlac@gmail.com,Port Davidhaven,1
42,42,1942,Sheila,Saenz,Sheila Saenz,Sheilas@gmail.com,East Debraland,1
43,43,3302,Howard,Branch,Howard Branch,Howardb@gmail.com,South Annachester,2
44,44,1975,Shirley,Scott,Shirley Scott,Shirleys@gmail.com,Davidchester,2
45,45,2198,Earnest,Debose,Earnest Debose,Earnestd@gmail.com,Lake Larry,2
46,46,783,Thomas,Ruka,Thomas Ruka,Thomasr@gmail.com,Russellport,1
47,47,2607,Sabrina,Crawford,Sabrina Crawford,Sabrinac@gmail.com,Lake Peter,0
48,48,3538,Frank,Reed,Frank Reed,Frankr@gmail.com,Port Troy,0
49,49,974,Marion,Law,Marion Law,Marionl@gmail.com,Annborough,1
50,50,2838,Hilton,Stallcup,Hilton Stallcup,Hiltons@gmail.com,Michaelside,0
51,51,2046,Amy,Channey,Amy Channey,Amyc@gmail.com,North Roberttown,0
52,52,3256,Anne,Black,Anne Black,Anneb@gmail.com,South Katiechester,2
53,53,1248,Patrick,Bender,Patrick Bender,Patrickb@gmail.com,New Dominiqueland,3
54,54,2127,Robert,Mcentyre,Robert Mcentyre,Robertm@gmail.com,Michaelville,1
55,55,3417,Martha,Jones,Martha Jones,Marthaj@gmail.com,Port Catherinefort,1
56,56,1961,Norma,Highfill,Norma Highfill,Normah@gmail.com,Lake Alexander,3
57,57,1205,Tamiko,Graves,Tamiko Graves,Tamikog@gmail.com,North Kellie,3
58,58,3839,Stephanie,Powell,Stephanie Powell,Stephaniep@gmail.com,East Timothyberg,0
59,59,2482,Brian,Carr,Brian Carr,Brianc@gmail.com,Port Maryfort,0
60,60,3136,Gladys,Naylor,Gladys Naylor,Gladysn@gmail.com,New Amyfort,3
61,61,2193,Barbara,Mesa,Barbara Mesa,Barbaram@gmail.com,West Heatherfort,0
62,62,2075,Thomas,Gregston,Thomas Gregston,Thomasg@gmail.com,Angelamouth,0
63,63,3860,Jonathan,Merrill,Jonathan Merrill,Jonathanm@gmail.com,Bakerborough,3
64,64,3412,Christopher,Olcott,Christopher Olcott,Christophero@gmail.com,Banksshire,1
65,65,1213,Heidi,Boyles,Heidi Boyles,Heidib@gmail.com,South Nicole,0
66,66,993,Joyce,Montero,Joyce Montero,Joycem@gmail.com,Michealland,3
67,67,3793,Paula,Aste,Paula Aste,Paulaa@gmail.com,Tuckerview,1
68,68,881,Alma,Rieck,Alma Rieck,Almar@gmail.com,Lake Jessica,2
69,69,3396,Peggy,Hogg,Peggy Hogg,Peggyh@gmail.com,Brianborough,2
70,70,823,Bridgett,Winship,Bridgett Winship,Bridgettw@gmail.com,South Traviston,3
71,71,1384,Amy,Martin,Amy Martin,Amym@gmail.com,Kaitlinburgh,3
72,72,984,Millie,May,Millie May,Milliem@gmail.com,Bradleyhaven,0
73,73,3573,Robert,Courtney,Robert Courtney,Robertc@gmail.com,Lorishire,0
74,74,2033,Hilda,Kelly,Hilda Kelly,Hildak@gmail.com,Port Angela,1
75,75,2988,David,Mashack,David Mashack,Davidm@gmail.com,Bellfurt,0
76,76,1048,Ryan,Moody,Ryan Moody,Ryanm@gmail.com,East Jorgeburgh,3
77,77,3508,Harold,Beatty,Harold Beatty,Haroldb@gmail.com,Burnsfort,0
78,78,1743,Stacy,Crews,Stacy Crews,Stacyc@gmail.com,Cameronburgh,2
79,79,3265,Tammy,Flight,Tammy Flight,Tammyf@gmail.com,North Julia,3
80,80,2282,Kevin,Paterson,Kevin Paterson,Kevinp@gmail.com,West Joshuashire,1
81,81,159,Ronald,Joshi,Ronald Joshi,Ronaldj@gmail.com,Michellechester,3
82,82,409,Irene,Plunkett,Irene Plunkett,Irenep@gmail.com,Catherinehaven,1
83,83,1695,Margaret,Drury,Margaret Drury,Margaretd@gmail.com,North Clarenceshire,1
84,84,3877,Wilbur,Kleffman,Wilbur Kleffman,Wilburk@gmail.com,Andrewberg,1
85,85,900,Rochelle,Marmerchant,Rochelle Marmerchant,Rochellem@gmail.com,Russellberg,1
86,86,2079,Melinda,Gardner,Melinda Gardner,Melindag@gmail.com,Lake Angelaland,1
87,87,1511,Patsy,Red,Patsy Red,Patsyr@gmail.com,West Ethan,3
88,88,2290,Peter,Coates,Peter Coates,Peterc@gmail.com,Baxtershire,1
89,89,2954,Yvonne,Young,Yvonne Young,Yvonney@gmail.com,North Brandi,3
90,90,1132,Margaret,Mailloux,Margaret Mailloux,Margaretm@gmail.com,South Larryport,1
91,91,2182,Norman,Delano,Norman Delano,Normand@gmail.com,Youngville,2
92,92,1978,Raymond,Hagen,Raymond Hagen,Raymondh@gmail.com,South Deannabury,3
93,93,3360,Robert,Hutchins,Robert Hutchins,Roberth@gmail.com,Lake Ericberg,0
94,94,2978,Mike,Gillaspie,Mike Gillaspie,Mikeg@gmail.com,West Jessicachester,3
95,95,1768,Janel,Lanclos,Janel Lanclos,Janell@gmail.com,East Meghanhaven,0
96,96,69,David,Lavelle,David Lavelle,Davidl@gmail.com,Tracieland,0
97,97,10,Raymond,Kennedy,Raymond Kennedy,Raymondk@gmail.com,Heidifurt,0
98,98,1137,Harris,Soderlund,Harris Soderlund,Harriss@gmail.com,Lake Eileenberg,2
99,99,2559,Chris,Shelton,Chris Shelton,Chriss@gmail.com,West Angelachester,1
